feature_name,representation_type_336,representation_type_857,dtype_336,dtype_857,unique_values_336,unique_values_857,value_counts_336,value_counts_857,target_breakdown_336,target_breakdown_857,manual_review_required,notes
ane,binary_text,binary_numeric,str,int64,"[""no"", ""yes""]","[""0"", ""1""]","{""no"": 339, ""yes"": 60, ""<NA>"": 1}","{""0"": 168, ""1"": 32}","{""0"": {""no"": 149, ""<NA>"": 1}, ""1"": {""no"": 190, ""yes"": 60}}","{""0"": {""0"": 72}, ""1"": {""0"": 96, ""1"": 32}}",yes,"Likely binary mismatch only, but 857 code direction still needs explicit confirmation."
appet,binary_text,binary_numeric,str,int64,"[""good"", ""poor""]","[""0"", ""1""]","{""good"": 317, ""poor"": 82, ""<NA>"": 1}","{""0"": 160, ""1"": 40}","{""0"": {""good"": 149, ""<NA>"": 1}, ""1"": {""good"": 168, ""poor"": 82}}","{""0"": {""0"": 72}, ""1"": {""0"": 88, ""1"": 40}}",yes,"Binary-looking feature, but 857 code direction and semantic polarity are not yet confirmed."
ba,binary_text,binary_numeric,str,int64,"[""notpresent"", ""present""]","[""0"", ""1""]","{""notpresent"": 374, ""present"": 22, ""<NA>"": 4}","{""0"": 189, ""1"": 11}","{""0"": {""notpresent"": 146, ""<NA>"": 4}, ""1"": {""notpresent"": 228, ""present"": 22}}","{""0"": {""0"": 72}, ""1"": {""0"": 117, ""1"": 11}}",yes,"Binary-looking feature, but 857 code direction and semantic polarity are not yet confirmed."
cad,binary_text,binary_numeric,str,int64,"[""no"", ""yes""]","[""0"", ""1""]","{""no"": 364, ""yes"": 34, ""<NA>"": 2}","{""0"": 178, ""1"": 22}","{""0"": {""no"": 148, ""<NA>"": 2}, ""1"": {""no"": 216, ""yes"": 34}}","{""0"": {""0"": 72}, ""1"": {""0"": 106, ""1"": 22}}",yes,"Likely binary mismatch only, but 857 code direction still needs explicit confirmation."
dm,binary_text,binary_numeric,str,int64,"[""yes"", ""no""]","[""0"", ""1""]","{""no"": 261, ""yes"": 137, ""<NA>"": 2}","{""0"": 130, ""1"": 70}","{""0"": {""no"": 148, ""<NA>"": 2}, ""1"": {""yes"": 137, ""no"": 113}}","{""0"": {""0"": 72}, ""1"": {""1"": 70, ""0"": 58}}",yes,"Likely binary mismatch only, but 857 code direction still needs explicit confirmation."
htn,binary_text,binary_numeric,str,int64,"[""yes"", ""no""]","[""0"", ""1""]","{""no"": 251, ""yes"": 147, ""<NA>"": 2}","{""0"": 122, ""1"": 78}","{""0"": {""no"": 148, ""<NA>"": 2}, ""1"": {""yes"": 147, ""no"": 103}}","{""0"": {""0"": 72}, ""1"": {""1"": 78, ""0"": 50}}",yes,"Likely binary mismatch only, but 857 code direction still needs explicit confirmation."
pc,binary_text,binary_numeric,str,int64,"[""normal"", ""abnormal""]","[""0"", ""1""]","{""normal"": 259, ""abnormal"": 76, ""<NA>"": 65}","{""0"": 155, ""1"": 45}","{""0"": {""normal"": 141, ""<NA>"": 9}, ""1"": {""normal"": 118, ""abnormal"": 76, ""<NA>"": 56}}","{""0"": {""0"": 72}, ""1"": {""0"": 83, ""1"": 45}}",yes,"Binary-looking feature, but 857 code direction and semantic polarity are not yet confirmed."
pcc,binary_text,binary_numeric,str,int64,"[""notpresent"", ""present""]","[""0"", ""1""]","{""notpresent"": 354, ""present"": 42, ""<NA>"": 4}","{""0"": 173, ""1"": 27}","{""0"": {""notpresent"": 146, ""<NA>"": 4}, ""1"": {""notpresent"": 208, ""present"": 42}}","{""0"": {""0"": 72}, ""1"": {""0"": 101, ""1"": 27}}",yes,"Binary-looking feature, but 857 code direction and semantic polarity are not yet confirmed."
pe,binary_text,binary_numeric,str,int64,"[""no"", ""yes""]","[""0"", ""1""]","{""no"": 323, ""yes"": 76, ""<NA>"": 1}","{""0"": 165, ""1"": 35}","{""0"": {""no"": 149, ""<NA>"": 1}, ""1"": {""no"": 174, ""yes"": 76}}","{""0"": {""0"": 72}, ""1"": {""0"": 93, ""1"": 35}}",yes,"Likely binary mismatch only, but 857 code direction still needs explicit confirmation."
rbc,binary_text,binary_numeric,str,int64,"[""normal"", ""abnormal""]","[""0"", ""1""]","{""normal"": 201, ""<NA>"": 152, ""abnormal"": 47}","{""0"": 175, ""1"": 25}","{""0"": {""normal"": 141, ""<NA>"": 9}, ""1"": {""<NA>"": 143, ""normal"": 60, ""abnormal"": 47}}","{""0"": {""0"": 72}, ""1"": {""0"": 103, ""1"": 25}}",yes,"Binary-looking feature, but 857 code direction and semantic polarity are not yet confirmed."
