model_name,source_group,metric,point_estimate,ci_lower,ci_upper,n_bootstrap,alpha,bootstrap_method
logistic_regression,baseline,auroc,0.9773333333333333,0.9446666666666668,1.0,2000,0.95,stratified_percentile
logistic_regression,baseline,auprc,0.9888406183337717,0.9741277985401428,1.0,2000,0.95,stratified_percentile
logistic_regression,baseline,accuracy,0.9375,0.8875,0.9875,2000,0.95,stratified_percentile
logistic_regression,baseline,precision,0.9411764705882353,0.8799298245614037,1.0,2000,0.95,stratified_percentile
logistic_regression,baseline,recall_sensitivity,0.96,0.9,1.0,2000,0.95,stratified_percentile
logistic_regression,baseline,specificity,0.9,0.7991666666666681,1.0,2000,0.95,stratified_percentile
logistic_regression,baseline,f1_score,0.9504950495049505,0.9072164948453608,0.9899039903990399,2000,0.95,stratified_percentile
logistic_regression,baseline,brier_score,0.054728394569871316,0.01605699773909348,0.09921374631842406,2000,0.95,stratified_percentile
random_forest,baseline,auroc,1.0,0.9999999999999999,1.0,2000,0.95,stratified_percentile
random_forest,baseline,auprc,1.0,0.9999999999999999,1.0,2000,0.95,stratified_percentile
random_forest,baseline,accuracy,1.0,1.0,1.0,2000,0.95,stratified_percentile
random_forest,baseline,precision,1.0,1.0,1.0,2000,0.95,stratified_percentile
random_forest,baseline,recall_sensitivity,1.0,1.0,1.0,2000,0.95,stratified_percentile
random_forest,baseline,specificity,1.0,1.0,1.0,2000,0.95,stratified_percentile
random_forest,baseline,f1_score,1.0,1.0,1.0,2000,0.95,stratified_percentile
random_forest,baseline,brier_score,0.008189166666666668,0.0035705798611111116,0.014019197916666662,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,auroc,1.0,0.9999999999999999,1.0,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,auprc,1.0,1.0,1.0000000000000002,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,accuracy,0.9875,0.9625,1.0,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,precision,1.0,1.0,1.0,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,recall_sensitivity,0.98,0.94,1.0,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,specificity,1.0,1.0,1.0,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,f1_score,0.98989898989899,0.9690721649484536,1.0,2000,0.95,stratified_percentile
hist_gradient_boosting,baseline,brier_score,0.004682702986121159,1.6746187594996518e-07,0.013978918851060977,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,auroc,1.0,0.9999999999999999,1.0,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,auprc,1.0,1.0,1.0000000000000002,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,accuracy,1.0,1.0,1.0,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,precision,1.0,1.0,1.0,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,recall_sensitivity,1.0,1.0,1.0,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,specificity,1.0,1.0,1.0,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,f1_score,1.0,1.0,1.0,2000,0.95,stratified_percentile
autoprognosis,autoprognosis,brier_score,0.021390067716168783,0.012232936975074524,0.03087348414215163,2000,0.95,stratified_percentile
